f"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Quản lý Lịch công tác","page_title","title","Quản trị Lịch IPA / Lịch làm việc của tôi","","None","Header/Left","false","","text-3xl, font-black, text-slate-900","Title changes based on management view (Team/Personal)"
"Quản lý Lịch công tác","badge_role","badge","[Role]","","None","Header/Left","false","","bg-primary/10, text-primary, text-[10px]","Only visible for managers/directors/admins"
"Quản lý Lịch công tác","label_view_description","label","Đang xem lịch công tác của...","","None","Header/Left","false","","text-sm, font-semibold, text-slate-500","Context message"
"Quản lý Lịch công tác","btn_prev_month","button","","","Switch to previous month","Header/Left (Month View)","false","","text-slate-500, hover:text-primary","ChevronLeft icon. Only in month mode."
"Quản lý Lịch công tác","label_current_month","label","Tháng [MM, YYYY]","","None","Header/Left (Month View)","false","","text-[10px], font-black, text-slate-900","Display current month"
"Quản lý Lịch công tác","btn_next_month","button","","","Switch to next month","Header/Left (Month View)","false","","text-slate-500, hover:text-primary","ChevronRight icon. Only in month mode."
"Quản lý Lịch công tác","toggle_management_view","toggle","CÁ NHÂN / ĐỘI NHÓM","","Switch between personal and team view","Header/Right","false","","bg-slate-50, rounded-xl, p-1","Only for managers/above"
"Quản lý Lịch công tác","select_staff_filter","select","TẤT CẢ NHÂN VIÊN","","Filter by specific staff member","Header/Right","false","","bg-white, text-[10px], font-black","Only in TEAM view"
"Quản lý Lịch công tác","input_search_event","input","","Tìm sự kiện...","Filter events by search term","Filter Bar","false","","bg-transparent, text-xs, font-bold","Includes Search icon"
"Quản lý Lịch công tác","dropdown_event_type","dropdown","Hình thức","","Filter by event type (MEETING, VISIT, etc.)","Filter Bar","false","","text-xs, font-bold, text-slate-600",""
"Quản lý Lịch công tác","dropdown_status","dropdown","Trạng thái","","Filter by status (PLANNED, CONFIRMED, DONE)","Filter Bar","false","","text-xs, font-bold, text-slate-600",""
"Quản lý Lịch công tác","btn_filter_joined","button","","","Toggle show only joined events","Filter Bar","false","","text-slate-400, hover:bg-slate-50","Filter icon. Toggles showOnlyJoined."
"Quản lý Lịch công tác","toggle_view_mode","toggle","Tuần / Tháng","","Switch between week and month view","Header/Right","false","","bg-slate-100, rounded-xl, p-1, text-xs, font-bold",""
"Quản lý Lịch công tác","btn_create_event","button","TẠO LỊCH","","Open create event dialog","Header/Right","false","","bg-slate-950, text-white, text-[10px]","Includes Plus icon"
"Quản lý Lịch công tác","sidebar_calendar","calendar","","","Select a specific day","Left Sidebar","false","","bg-white, border-slate-200","Mini calendar view (Week mode)"
"Quản lý Lịch công tác","sidebar_day_list","list","Ngày [D] tháng [M]","","None","Left Sidebar","false","","text-slate-900, text-sm","List of events for selected day (Month mode)"
"Quản lý Lịch công tác","btn_outlook_sync","button","KHÁM PHÁ NGAY / ĐÃ KẾT NỐI","","Toggle Outlook connection","Left Sidebar Bottom","false","","bg-white/5, text-white, text-[9px]","Inside feature teaser card"
"Quản lý Lịch công tác","main_view_container","container","","","None","Main Content","false","","min-h-[600px]","Renders ScheduleWeekView or ScheduleMonthView"
"Quản lý Lịch công tác","pagination_total","label","[Total] Sự kiện","","None","Footer","false","","text-xs, font-black",""
"Quản lý Lịch công tác","select_items_per_page","select","[N] dòng","","Set page size","Footer","false","","text-primary, text-xs, font-black",""
"Quản lý Lịch công tác","pagination_current_page","label","[Current Page] / [Total Pages]","","None","Footer","false","","text-xs, font-black",""
"Quản lý Lịch công tác","btn_prev_page","button","","","Go to previous page","Footer","false","","border-slate-100, text-slate-400","ChevronLeft icon"
"Quản lý Lịch công tác","btn_page_num","button","[N]","","Go to specific page","Footer","false","","bg-slate-50, text-slate-500",""
"Quản lý Lịch công tác","btn_next_page","button","","","Go to next page","Footer","false","","border-slate-100, text-slate-400","ChevronRight icon"
"Quản lý Lịch công tác","modal_create_title","title","Kế hoạch công tác mới","","None","Dialog/Header","false","","text-xl, font-black",""
"Quản lý Lịch công tác","form_schedule","form","","","None","Dialog/Content","false","","ScheduleForm",""
